gene	Chimp.Mean.Expression	Chimp.Overdispersion	Chimp.theta.se	Chimp.Mean.Log2RPKM	Human.Mean.Expression	Human.Overdispersion	Human.theta.se	Human.Mean.Log2RPKM	Chimp.Residual	Human.Residual	Chimp.Dispersion	Human.Dispersion
ENSG00000150403	-18.8148109354439	0.0402434550169313	5.70015555786251	2.7481922883036	-19.0894294357616	0.0574419894589192	4.00561865946934	2.27743133076763	-1.10530686579644	-0.680125917327082	-3.0644144915847	-2.75222443554979
ENSG00000276248	-21.0656264243665	0.413493240918258	0.536491326945071	-0.793243349339293	-20.3858229863728	0.372143357760756	0.594720189600094	0.158645241203826	0.0895449040121821	0.638127197727822	-1.86956272177607	-1.43397132049489
ENSG00000184497	-20.8785637894376	0.971890839818334	0.211797870970981	-0.991953163581578	-19.3256743705286	0.319085047735031	0.692296309632307	1.73553474212381	1.05085587009237	0.96564751031757	-0.908251755695885	-1.10645100790514
ENSG00000183087	-16.3576775344397	0.0913869266610441	2.44968637991974	6.2561811314236	-16.022135981329	0.0511698420797449	4.41262340747545	6.70878481544465	-0.0702530437399242	-0.640546936393315	-2.02936066952818	-2.71264545461603
ENSG00000233695	-19.1710692474667	0.104173835270732	2.3332599074422	2.18541018691038	-20.5070058049466	0.437295956995428	0.562478243875004	-0.101824154889804	-0.27576636983936	0.731723099891755	-2.23487399562761	-1.34037541833096
ENSG00000272695	-20.7151855094764	0.194988908343181	1.20799939353038	-0.109720407743701	-19.9108641541622	0.117203246206462	2.07057622891029	1.05036425389583	-0.458360646207528	-0.276372389674345	-2.41746827199578	-2.34847090789706
ENSG00000185989	-19.263390633735	0.317850923650525	0.681777525302615	1.89055527454845	-18.8944458973666	0.0969873301911157	2.33934244750473	2.53087363538601	0.803129963908112	-0.112625780015846	-1.15597766188014	-2.18472429823856
ENSG00000130177	-17.8899319744706	0.119052885918796	1.87460786541444	4.02544494381411	-17.9625531779259	0.0476288865049031	4.80853242558999	3.91228638723555	0.154329585848067	-0.704281375867816	-1.80477803994018	-2.77637989409053
ENSG00000169062	-19.8179113771254	0.0808528606921633	2.85153724807284	1.27329003482607	-19.3021067300707	0.208936155147159	1.06495149946661	1.85612299003646	-0.824526041942472	0.549985276488711	-2.78363366773072	-1.522113241734
ENSG00000198824	-19.4976417493896	0.0454546777040182	5.24211415804004	1.75918160195548	-19.436363833549	0.0435611175158943	5.53597600637691	1.78578699823078	-1.24063857407555	-1.06354020140128	-3.1997461998638	-3.13563871962399
ENSG00000136319	-20.4669679375704	0.0799848945251381	2.90655368901768	0.337273404621017	-20.4084448095735	0.035100054749185	7.10464116565381	0.393507602411935	-1.19850191835279	-1.7354519408245	-3.15760954414104	-3.80755045904721
ENSG00000100814	-21.3428611134211	0.136476519882179	1.96261328077129	-0.980630589949336	-19.9621172973631	0.322670841367453	0.688083900655723	0.813026106266301	-1.17190134249999	0.710447837286644	-3.13100896828824	-1.36165068093607
ENSG00000129484	-18.7931198806054	0.0236728494013343	10.1142379296419	2.79009813167139	-18.920116740443	0.0508016920332442	4.59376267088062	2.52724026327296	-1.62944787385295	-0.764763472580981	-3.5885554996412	-2.83686199080369
ENSG00000129566	-19.8833377394624	0.14266484451474	1.56895546177507	1.13146557527506	-19.8611531868135	0.236002519550137	0.934594448012774	1.02905798320243	-0.292342463558549	0.44863587141216	-2.2514500893468	-1.62346264681055
ENSG00000132819	-16.4057930010575	0.109530683457173	2.03882811758708	6.17311986029569	-16.7096124170875	0.0921417452059718	2.4332356379653	5.68671346943277	0.111737090925336	-0.0324070324213181	-1.84737053486292	-2.10450555064403
ENSG00000092094	-18.5350811932779	0.0716752315764066	3.16554556660814	3.12931326190105	-18.8735683220773	0.0594310716005787	3.87024033691748	2.58806613465506	-0.450183296011971	-0.597993023797496	-2.40929092180022	-2.67009154202021
ENSG00000100823	-17.0590211236748	0.0764743136787967	2.95816719718896	5.25423897261175	-16.8945322336137	0.0366115233682316	6.25615443046138	5.46025435561921	-0.256416848042655	-0.954873616471969	-2.21552447383091	-3.02697213469468
ENSG00000165782	-18.6365579486344	0.0905758010328021	2.4941832342458	2.97006886465972	-18.4618276001451	0.0679055975200913	3.36705374008043	3.17686031573719	-0.242712011123619	-0.395152753126081	-2.20181963691187	-2.46725127134879
ENSG00000198805	-18.7179912358451	0.934225010559211	0.215007408134887	2.1469505904335	-18.908779074754	0.522516997554772	0.40297347314706	2.17237736472883	2.06783366198747	1.568398668782	0.108726036199215	-0.503699849440714
ENSG00000214274	-19.2120357109552	0.673440247541822	0.312080991532541	1.67407002295166	-18.9528486878086	0.335015955356459	0.67379249206981	2.26342227092088	1.57453577265992	1.11436319152489	-0.384571853128326	-0.957735326697822
ENSG00000169413	-19.2692838915604	0.543012382967613	0.390768007936442	1.69516332844196	-19.3183857011383	0.386335190094152	0.570492794144232	1.68818077629381	1.33628514322899	1.15931182850617	-0.622822482559259	-0.912786689716545
